ORIGIN;DEST;DEPARTURE DATE;DEPARTURE TIME;BOOKING CLASS;FARE;DAYS TO DEPARTURE;# BOOKINGS (net)
BER;BOB;2014-04-16;1530;Z;115;1;0
BER;BOB;2014-04-17;1705;B;95;357;0
BER;BOB;2014-04-17;1705;B;95;290;0
BER;BOB;2014-04-17;1705;B;95;26;1
BER;BOB;2014-04-17;1705;B;95;24;4
BER;BOB;2014-04-17;1705;B;95;21;6
BER;BOB;2014-04-17;1705;B;95;20;6
BER;BOB;2014-04-17;1705;B;95;11;5
BER;BOB;2014-04-17;1705;E;45;357;0
BER;BOB;2014-04-17;1705;E;45;300;0
BER;BOB;2014-04-16;1530;R;185;299;0
BER;BOB;2014-04-16;1530;T;75;299;0
BER;BOB;2014-04-16;1530;V;55;299;0
BER;BOB;2014-04-16;1530;Z;115;299;0
BER;BOB;2014-04-16;1530;R;185;289;0
BER;BOB;2014-04-17;1705;E;45;290;0
BER;BOB;2014-04-17;1705;E;45;59;0
BER;BOB;2014-04-17;1705;E;45;58;6
BER;BOB;2014-04-17;1705;E;45;57;6
BER;BOB;2014-04-17;1705;E;45;56;7
BER;BOB;2014-04-17;1705;E;45;54;9
BER;BOB;2014-04-17;1705;E;45;47;7
BER;BOB;2014-04-17;1705;I;85;357;0
BER;BOB;2014-04-17;1705;I;85;116;2
BER;BOB;2014-04-17;1705;I;85;96;3
BER;BOB;2014-04-17;1705;I;85;54;1
BER;BOB;2014-04-17;1705;I;85;32;1
BER;BOB;2014-04-17;1705;J;145;357;0
BER;BOB;2014-04-17;1705;J;145;290;0
